strategy,attack,round,n_seeds,mean_acc,std_acc
ArKrum,gaussian,1,5,0.765320,0.078102
ArKrum,gaussian,2,5,0.891600,0.019841
ArKrum,gaussian,3,5,0.912480,0.006105
ArKrum,gaussian,4,5,0.923600,0.005999
ArKrum,gaussian,5,5,0.930700,0.004301
ArKrum,gaussian,6,5,0.936700,0.002900
ArKrum,gaussian,7,5,0.941560,0.002536
ArKrum,gaussian,8,5,0.945600,0.003078
ArKrum,gaussian,9,5,0.948940,0.003061
ArKrum,gaussian,10,5,0.951160,0.002758
ArKrum,gaussian,11,5,0.953980,0.002657
ArKrum,gaussian,12,5,0.956960,0.003360
ArKrum,gaussian,13,5,0.958380,0.003157
ArKrum,gaussian,14,5,0.960640,0.003299
ArKrum,gaussian,15,5,0.961760,0.002881
ArKrum,gaussian,16,5,0.962260,0.003998
ArKrum,ipm,1,5,0.006680,0.005991
ArKrum,ipm,2,5,0.750200,0.050009
ArKrum,ipm,3,5,0.704440,0.042311
ArKrum,ipm,4,5,0.902200,0.004854
ArKrum,ipm,5,5,0.896980,0.011854
ArKrum,ipm,6,5,0.925820,0.003215
ArKrum,ipm,7,5,0.927120,0.008246
ArKrum,ipm,8,5,0.937060,0.003065
ArKrum,ipm,9,5,0.940760,0.004484
ArKrum,ipm,10,5,0.946220,0.004487
ArKrum,ipm,11,5,0.946440,0.003009
ArKrum,ipm,12,5,0.952580,0.002945
ArKrum,ipm,13,5,0.953360,0.004435
ArKrum,ipm,14,5,0.956980,0.003064
ArKrum,ipm,15,5,0.958100,0.003548
ArKrum,ipm,16,5,0.960420,0.004365
ArKrum,label_flip,1,5,0.765320,0.078102
ArKrum,label_flip,2,5,0.891600,0.019841
ArKrum,label_flip,3,5,0.912480,0.006105
ArKrum,label_flip,4,5,0.923600,0.005999
ArKrum,label_flip,5,5,0.930700,0.004301
ArKrum,label_flip,6,5,0.936700,0.002900
ArKrum,label_flip,7,5,0.941560,0.002536
ArKrum,label_flip,8,5,0.945600,0.003078
ArKrum,label_flip,9,5,0.948940,0.003061
ArKrum,label_flip,10,5,0.951160,0.002758
ArKrum,label_flip,11,5,0.953980,0.002657
ArKrum,label_flip,12,5,0.956960,0.003360
ArKrum,label_flip,13,5,0.958380,0.003157
ArKrum,label_flip,14,5,0.960640,0.003299
ArKrum,label_flip,15,5,0.961760,0.002881
ArKrum,label_flip,16,5,0.962260,0.003998
Bulyan,gaussian,1,5,0.723780,0.069109
Bulyan,gaussian,2,5,0.884720,0.018047
Bulyan,gaussian,3,5,0.906800,0.008752
Bulyan,gaussian,4,5,0.918880,0.008483
Bulyan,gaussian,5,5,0.926860,0.003281
Bulyan,gaussian,6,5,0.932980,0.003163
Bulyan,gaussian,7,5,0.937420,0.002657
Bulyan,gaussian,8,5,0.940260,0.003707
Bulyan,gaussian,9,5,0.943820,0.003328
Bulyan,gaussian,10,5,0.947180,0.002675
Bulyan,gaussian,11,5,0.949740,0.002211
Bulyan,gaussian,12,5,0.951860,0.002764
Bulyan,gaussian,13,5,0.953260,0.003065
Bulyan,gaussian,14,5,0.955040,0.002137
Bulyan,gaussian,15,5,0.957200,0.002230
Bulyan,gaussian,16,5,0.957220,0.002510
Bulyan,ipm,1,5,0.723780,0.069109
Bulyan,ipm,2,5,0.884720,0.018047
Bulyan,ipm,3,5,0.906800,0.008752
Bulyan,ipm,4,5,0.918880,0.008483
Bulyan,ipm,5,5,0.926860,0.003281
Bulyan,ipm,6,5,0.932980,0.003163
Bulyan,ipm,7,5,0.937420,0.002657
Bulyan,ipm,8,5,0.940260,0.003707
Bulyan,ipm,9,5,0.943820,0.003328
Bulyan,ipm,10,5,0.947180,0.002675
Bulyan,ipm,11,5,0.949740,0.002211
Bulyan,ipm,12,5,0.951860,0.002764
Bulyan,ipm,13,5,0.953260,0.003065
Bulyan,ipm,14,5,0.955040,0.002137
Bulyan,ipm,15,5,0.957200,0.002230
Bulyan,ipm,16,5,0.957220,0.002510
Bulyan,label_flip,1,5,0.723780,0.069109
Bulyan,label_flip,2,5,0.884720,0.018047
Bulyan,label_flip,3,5,0.906800,0.008752
Bulyan,label_flip,4,5,0.918880,0.008483
Bulyan,label_flip,5,5,0.926860,0.003281
Bulyan,label_flip,6,5,0.932980,0.003163
Bulyan,label_flip,7,5,0.937420,0.002657
Bulyan,label_flip,8,5,0.940260,0.003707
Bulyan,label_flip,9,5,0.943820,0.003328
Bulyan,label_flip,10,5,0.947180,0.002675
Bulyan,label_flip,11,5,0.949740,0.002211
Bulyan,label_flip,12,5,0.951860,0.002764
Bulyan,label_flip,13,5,0.953260,0.003065
Bulyan,label_flip,14,5,0.955040,0.002137
Bulyan,label_flip,15,5,0.957200,0.002230
Bulyan,label_flip,16,5,0.957220,0.002510
FedAvg,gaussian,1,5,0.085560,0.009446
FedAvg,gaussian,2,5,0.098000,0.000000
